img,acc,iou,acc_crf,iou_crf
../../tmm_dataset_sharing/datasets/test/image\189750.jpg,90.6933333333,56.9781494989,90.4979166667,55.4313803526
../../tmm_dataset_sharing/datasets/test/image\189910.jpg,95.3058333333,83.2858541796,95.70125,83.8821368005
../../tmm_dataset_sharing/datasets/test/image\190057.jpg,92.595,57.943245915,92.19625,53.5951755064
../../tmm_dataset_sharing/datasets/test/image\190109.jpg,92.2929166667,53.7146001131,92.4354166667,52.4845709433
../../tmm_dataset_sharing/datasets/test/image\190182.jpg,91.9395833333,72.4943728259,94.3441666667,81.2383870248
../../tmm_dataset_sharing/datasets/test/image\190276.jpg,92.39875,58.8048331357,91.8545833333,54.9568772759
../../tmm_dataset_sharing/datasets/test/image\190385.jpg,89.4366666667,57.2900566718,89.3329166667,58.6617854274
../../tmm_dataset_sharing/datasets/test/image\190541.jpg,84.4633333333,39.2363600069,85.6816666667,43.8802664714
../../tmm_dataset_sharing/datasets/test/image\190651.jpg,87.1233333333,41.2473219686,87.75125,43.3200787079
../../tmm_dataset_sharing/datasets/test/image\190668.jpg,90.5558333333,72.5672442778,90.3354166667,73.4674604112
../../tmm_dataset_sharing/datasets/test/image\190705.jpg,89.2495833333,54.0820699897,90.7483333333,60.0217181227
../../tmm_dataset_sharing/datasets/test/image\190949.jpg,94.8583333333,81.253387856,96.0970833333,84.6732772494
../../tmm_dataset_sharing/datasets/test/image\191067.jpg,90.7566666667,71.0535293388,93.1825,78.1686053261
../../tmm_dataset_sharing/datasets/test/image\191222.jpg,95.0804166667,74.7910602521,95.2554166667,75.4633380596
../../tmm_dataset_sharing/datasets/test/image\191344.jpg,87.9883333333,51.619219324,86.2754166667,43.1214425884
../../tmm_dataset_sharing/datasets/test/image\191664.jpg,84.5004166667,38.3506096169,86.3366666667,45.4472391181
../../tmm_dataset_sharing/datasets/test/image\192042.jpg,93.2683333333,70.2036463567,93.6245833333,71.78905054
../../tmm_dataset_sharing/datasets/test/image\192647.jpg,89.1866666667,62.0205507016,89.2766666667,62.1519786176
../../tmm_dataset_sharing/datasets/test/image\193728.jpg,87.9404166667,31.5827673804,88.035,30.834715168
../../tmm_dataset_sharing/datasets/test/image\194242.jpg,93.9366666667,77.310245211,94.2566666667,78.1859871733
../../tmm_dataset_sharing/datasets/test/image\194270.jpg,91.2208333333,67.7869016242,92.3141666667,72.3991971921
../../tmm_dataset_sharing/datasets/test/image\194272.jpg,94.2941666667,78.2726593557,95.19375,81.4049703076
../../tmm_dataset_sharing/datasets/test/image\19435.jpg,86.4033333333,32.3389567851,86.93625,33.0218808249
../../tmm_dataset_sharing/datasets/test/image\19689.jpg,97.015,88.9568845619,97.1525,89.2221406741
../../tmm_dataset_sharing/datasets/test/image\20136.jpg,85.7841666667,55.6090075178,86.9291666667,60.416406264
../../tmm_dataset_sharing/datasets/test/image\20893.jpg,95.07875,81.0688754762,95.6970833333,82.2846630604
../../tmm_dataset_sharing/datasets/test/image\20981.jpg,87.5241666667,44.9124261991,87.80875,45.4744439186
../../tmm_dataset_sharing/datasets/test/image\21482.jpg,93.955,75.8175974699,93.8595833333,74.5648272995
../../tmm_dataset_sharing/datasets/test/image\2207.jpg,96.3983333333,90.2292589073,97.45875,92.7867030881
../../tmm_dataset_sharing/datasets/test/image\22226.jpg,87.16,69.1273331509,88.3083333333,73.261278832
../../tmm_dataset_sharing/datasets/test/image\22427.jpg,89.8258333333,63.6086725876,90.48125,64.1626344554
../../tmm_dataset_sharing/datasets/test/image\23006.jpg,95.4833333333,82.5340399862,95.85,85.1655802966
../../tmm_dataset_sharing/datasets/test/image\23236.jpg,91.3179166667,77.196587469,92.4454166667,81.9424834659
../../tmm_dataset_sharing/datasets/test/image\2340.jpg,96.3629166667,85.9272185262,97.05375,89.4739457794
../../tmm_dataset_sharing/datasets/test/image\2380.jpg,95.2233333333,81.6511813651,96.7229166667,88.4908966097
../../tmm_dataset_sharing/datasets/test/image\2409.jpg,97.23625,84.7812401637,97.3516666667,85.049342634
../../tmm_dataset_sharing/datasets/test/image\24114.jpg,87.0354166667,54.5015510115,87.2675,54.6645201779
../../tmm_dataset_sharing/datasets/test/image\27328.jpg,94.7466666667,85.3772606408,95.7083333333,88.0077979416
../../tmm_dataset_sharing/datasets/test/image\28192.jpg,94.785,79.7167918363,95.5283333333,83.3299386039
../../tmm_dataset_sharing/datasets/test/image\28748.jpg,84.9008333333,37.0163232032,84.9095833333,35.6262259663
../../tmm_dataset_sharing/datasets/test/image\28803.jpg,87.3108333333,57.6772660517,87.6158333333,56.9967236688
